Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-18SRNAMur/X00686_3_at	1369.8	2985.4	3248.7	3651	2133.2	3216.2
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-18SRNAMur/X00686_5_at	1115.6	1162.8	1122.8	1395.7	439.9	743.8
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-18SRNAMur/X00686_M_at	4912.6	3792.1	1751	2060.1	2631.2	2245.2
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioB-3_at	48693	52855.5	64450.6	51235.8	77275.4	74699.7
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioB-5_at	24597.8	28592.3	36368.4	32740	56540.8	51551.9
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioB-M_at	43663.4	41480.5	65411.8	51363.2	90751.7	68426.7
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioC-3_at	54043.1	57841.7	81393.7	68616.6	97999.8	96102
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioC-5_at	108674.4	109821.5	148877.8	105641.5	214690.2	172666.3
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioDn-3_at	576127.7	593780.8	909701.2	638422.4	942918.4	933390.2
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioDn-5_at	182725.6	159223.6	254843.3	227335.4	345396.8	307216.5
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-CreX-3_at	1425715.1	1394072.5	2037291.8	2008774.4	2403810.8	2297428.8
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-CreX-5_at	911754.8	872482.5	1527091.8	1078164.3	1525905.5	1455517.1
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-DapX-3_at	111	307.3	748.3	103.2	287.8	119.6
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-DapX-5_at	344	501.2	773.2	996.3	508.8	872.4
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-DapX-M_at	31.5	86.7	326.7	132.8	90.9	41.2
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-GapdhMur/M32599_3_at	43602.2	54744.5	55877.1	31357.5	46901.1	32287.4
