Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-18SRNAMur/X00686_3_at	0.095667	0.002867	0.250796	0.023929	0.250796	0.050229
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-18SRNAMur/X00686_5_at	0.0727	0.054198	0.455413	0.147897	0.544626	0.440641
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-18SRNAMur/X00686_M_at	0.000169	0.010317	0.216524	0.010317	0.015183	0.030976
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioB-3_at	6.00E-05	5.20E-05	5.20E-05	4.40E-05	5.20E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioB-5_at	4.40E-05	5.20E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioB-M_at	4.40E-05	5.20E-05	4.40E-05	5.20E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioC-3_at	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioC-5_at	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioDn-3_at	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-BioDn-5_at	4.40E-05	7.00E-05	5.20E-05	4.40E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-CreX-3_at	4.40E-05	5.20E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-CreX-5_at	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-DapX-3_at	0.699489	0.772383	0.58865	0.804734	0.699409	0.891021
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-DapX-5_at	0.287726	0.238967	0.631606	0.39692	0.559354	0.205692
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-DapX-M_at	0.995546	0.945787	0.834139	0.783476	0.945802	0.998899
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-GapdhMur/M32599_3_at	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-GapdhMur/M32599_5_at	4.40E-05	0.000581	7.00E-05	5.20E-05	0.000127	0.000446
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-GapdhMur/M32599_M_at	4.40E-05	4.40E-05	4.40E-05	0.000195	5.20E-05	4.40E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-LysX-3_at	0.354441	0.205712	0.574038	0.699457	0.368427	0.354441
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-LysX-5_at	0.993138	0.724871	0.57405	0.971586	0.995516	0.116072
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-LysX-M_at	0.860538	0.883887	0.760937	0.852082	0.5	0.904333
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-MURINE_B2_at	3.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05	3.00E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-MURINE_b1_at	0.000107	0.000351	0.000123	8.10E-05	0.000141	8.10E-05
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-MUR_b2_at	0.012485	0.01774	0.016275	0.007135	0.009484	0.005869
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-PheX-3_at	0.195246	0.470241	0.455409	0.227636	0.876469	0.021902
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-PheX-5_at	0.724854	0.724924	0.772364	0.340661	0.815078	0.544587
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-PheX-M_at	0.921998	0.860622	0.990668	0.588627	0.529762	0.980013
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-PyruCarbMur/L09192_3_at	0.51489	0.876428	0.544587	0.794268	0.945787	0.51489
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-PyruCarbMur/L09192_5_at	0.067678	0.195246	0.287643	0.147918	0.440641	0.089478
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-PyruCarbMur/L09192_MA_at	0.205732	0.354453	0.60308	0.39692	0.686292	0.617401
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-PyruCarbMur/L09192_MB_at	0.382599	0.804734	0.275146	0.003592	0.699425	0.559354
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-ThrX-3_at	0.804734	0.645547	0.659339	0.916408	0.993813	0.986196
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-ThrX-5_at	0.470238	0.973909	0.102145	0.544587	0.588627	0.030965
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-ThrX-M_at	0.969024	0.995005	0.897835	0.891021	0.921998	0.963443
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-TransRecMur/X57349_3_at	0.006183	0.216504	0.425937	0.205732	0.205651	0.002275
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-TransRecMur/X57349_5_at	0.904333	0.98746	0.932339	0.834139	0.910541	0.981728
